video_id,title,description,channel_title,likes,subscribers,comment_count,youtube_link
pH_gk_HDJRg,Incrementa el ROI usando los datos de las Redes Sociales,Apúntate Gratis al [TALLER EN VIVO con Juan Merodio] el martes 7 de septiembre a las 19:00 ✓ Multiplica x5 Las Ventas de Tu ...,Juan Merodio,30,214000,1,https://www.youtube.com/watch?v=pH_gk_HDJRg
4dFfJhc7RPA,Mineria de datos,"Hola, hoy les vengo a explicar exactamente que es la Minería de Datos, cuanto se gana por minería de datos. Pagina para ...",Jorge Betancourt Gonzalez,37,16,5,https://www.youtube.com/watch?v=4dFfJhc7RPA
X7NSsOCklC0,Redes neuronales para minería de textos en medios sociales,,UNAM Canal 03,8,3850,1,https://www.youtube.com/watch?v=X7NSsOCklC0
RMTG34YRoqU,Análisis de Sentimientos y minería de texto a partir de datos de Twitter,Análisis de Sentimientos y minería de texto a partir de datos de Twitter referentes a la etapa previa de las elecciones ...,Gestión del Conocimiento,8,113,0,https://www.youtube.com/watch?v=RMTG34YRoqU
sEv4UCOfeHQ,Como integrar red social VKontakte con Minería de Datos.,"Esta red social trabaja algo diferente a LinkedIn. Espero les haya ayudado, a continuación dejare enlace a instructivo y programa ...",FABIAN CHIVATA,3,114,0,https://www.youtube.com/watch?v=sEv4UCOfeHQ
lMXKlffCmzw,Ciencia de datos aplicada al marketing político - Kenedy Alva,,MBIT School,2,875,0,https://www.youtube.com/watch?v=lMXKlffCmzw
mnZmDPAVsPI,EP. 1 - BigData y redes sociales | ¿Cómo aprovechar los datos de tu marca?,"En los negocios o #empresas, es fundamental cuantificar los datos de redes sociales, tratando de ir más allá del informe ...",Juan Carlos Jacome,9,6,2,https://www.youtube.com/watch?v=mnZmDPAVsPI
sz_QKa8zWPM,Mira las mejores herramientas para crecer en las redes #redessociales#crecimiento#IA#contenido#Ia,"IA,Redes sociales,Aprendizaje automático,Inteligencia artificial,Machine,learning Social media, Algoritmos,Tecnología,Big data ...",sin nombre,19,25,0,https://www.youtube.com/watch?v=sz_QKa8zWPM
6bWi3tkYHKY,La Inteligencia Artificial y la Explotación de Datos en Redes Sociales,"En el más reciente episodio de Martes Tecnológico, Carlotti Peralta y Arturo López Valerio conversan sobre los datos ...",Arturo Lopez Valerio,0,9750,0,https://www.youtube.com/watch?v=6bWi3tkYHKY
IdRZ4N7vJxw,¿Qué es el data mining? / Agustín Giménez,Nuestro Director académico va a hablarte sobre la minería de datos.,Grow Escuela de profesiones digitales,1,697,0,https://www.youtube.com/watch?v=IdRZ4N7vJxw
D7sN6fb5Bq8,Análisis de datos de usuario en redes sociales,Seminario de formación sobre análisis de datos de usurio en redes sociales. Dirigido a investigadores del COM UPM-Banco ...,UPM,72,130000,3,https://www.youtube.com/watch?v=D7sN6fb5Bq8
5pJ6sGE4Xik,Análisis de Minería de textos en redes sociales,,Benjamín López Gómez,0,1,0,https://www.youtube.com/watch?v=5pJ6sGE4Xik
amv2Su7v1rs,Machine learning en redes sociales | JCC XX,Disertante: Federico Albanese Abstract: Hoy en día las redes sociales juegan un papel fundamental en la interacción entre ...,LCC - FCEIA - UNR,9,862,0,https://www.youtube.com/watch?v=amv2Su7v1rs
1UIPbkZRKMg,Análisis de Sentimientos de Twitter - Minería de Datos,"En el siguiente vídeo se evidencia un análisis de sentimientos de twitter, los integrantes del equipo son: Karen Brigid Beltrán ...",KAREN BELTRAN VERA,18,4,0,https://www.youtube.com/watch?v=1UIPbkZRKMg
2UUsPH5alb8,Observatorio cotidiano. Redes sociales y protección de datos con Pedro Salazar,"Compartimos mucho de nuestra vida en las redes sociales, desde nuestra información básica hasta lo que se hace día a día, ...",TV UNAM,21,600000,1,https://www.youtube.com/watch?v=2UUsPH5alb8
sR8pMqt_WZ0,Predicción de usuarios persuasibles en twitter usando graph ML y text mining.,Por Federico Albanese Abstract: La identificación del individuos persuasibles es un factor clave en la dinámica de la opinión ...,Papers We Love Buenos Aires,9,40,0,https://www.youtube.com/watch?v=sR8pMqt_WZ0
zBl9XhxcQYw,Big Data Aplicado a Redes Sociales,Big Data Aplicado a Redes Sociales Módulo 1. Google Maps Módulo 2. YouTube Módulo 3. Twitter Módulo 4. Facebook No te ...,InterCapa,3,553,0,https://www.youtube.com/watch?v=zBl9XhxcQYw
2fUJWSKoKo0,👉¡Convierte cualquier texto en DATOS y predicciones con Python! 🤯 | Minería de Texto Fácil,Quieres aprender a transformar texto en datos útiles y empezar a aplicar inteligencia artificial y análisis de datos de manera ...,ALPHA TECH Gt,0,163,0,https://www.youtube.com/watch?v=2fUJWSKoKo0
FETgfJGVwqA,Minería de datos en bioinformática y su aplicación en biomedicina | TECH Universidad,"La #MineríaDeDatos permite analizar grandes volúmenes de información clínica y biológica, descubriendo patrones clave para ...",TECH Universidad,1,286000,0,https://www.youtube.com/watch?v=FETgfJGVwqA
coO_fbavMjY,Análisis de Redes: Introducción a la minería de texto,Contenido: - Introducción - Discursos Petro y Duque ante la ONU - Importar texto - Tokenización - Normalización del texto Todo el ...,Juan Sosa,2,2830,1,https://www.youtube.com/watch?v=coO_fbavMjY
Nj4Xpmkcktw,Sistemas de Información para la minería de datos georeferenciada en ecología urbana,"Disertante: RAMOS, Luis. Jornadas de Electrónica y Ciencias de la Computación Evento realizado del 24 al 28 de Agosto del ...",Ingeniería Electrónica · UNPSJB ·,0,85,0,https://www.youtube.com/watch?v=Nj4Xpmkcktw
Jr7v9A2gxzU,Mineria de Datos SQL - Red Neuronal,"Aqui en mi blog lo pueden visitar y visualizar toda la informacion, desde el documento elaborado aplicando metodologias de ...",Luis Pedro Valdez Olazábal,13,83,6,https://www.youtube.com/watch?v=Jr7v9A2gxzU
_zZJ6Q7lCDY,Gestión de Operaciones en el Mantenimiento del Sector Minero en la Era del Big Data,"Con el PhD. Omar Aguilar en este webinar analizamos el empleo de la inteligencia artificial, la estadística y los datos masivos, ...",Elite Training,16,5860,0,https://www.youtube.com/watch?v=_zZJ6Q7lCDY
zGLXYAzKQM8,ANALISIS O MINERIA DE DATOS EN PYTHON,"HOLA CHICOS, GRACIAS POR VERNOS, NO SE OLVIDEN DE SEGUIRNOS EN TODAS NUESTRAS REDES SOCIALES: ...",Alquimia Code,1,44,0,https://www.youtube.com/watch?v=zGLXYAzKQM8
BRn2DPy85Qo,&quot;Aplicaciones de Big Data para la solución de problemas sociales&quot;,"En la siguiente charla, se discute cómo el uso del Big Data puede ser una herramienta poderosa para abordar y resolver desafíos ...",INCS red,7,141,0,https://www.youtube.com/watch?v=BRn2DPy85Qo
jFpFdncgBr0,Taller: Minería de los Datos.,El taller Minería de los Datos forma parte de usa serie de actividades realizadas por el grupo de afinidad estudiantil WIE del ...,WIETEC IEEE,3,25,0,https://www.youtube.com/watch?v=jFpFdncgBr0
8zCjUiTHRM4,"Jueves Minero: Mapas de Big Data en tiempo real, para conocer y comprender los factores de riesgo",Conoce más detalles de nuestras actividades ingresando a: www.iimp.org.pe Instituto de Ingenieros de Minas del Perú El ...,Instituto de Ingenieros de Minas del Perú,16,16000,0,https://www.youtube.com/watch?v=8zCjUiTHRM4
6_cXxeIOaic,Análisis de las Redes Sociales y Big Data. Sesión1. Parte1. Camilo Cristancho y Jorge Salcedo,Curso metodológico organizado por el IN3. Se trata de un curso básico donde se explican los fundamentos del Social Network ...,UOC - Universitat Oberta de Catalunya,2,68700,0,https://www.youtube.com/watch?v=6_cXxeIOaic
Bn-5clKXKzo,"Información, bases de datos, redes sociales y derecho a la protección","Información, bases de datos, redes sociales y derecho a la protección de datos. Vicente Cerverón Lleó, Profesor Titular del ...",UPM,18,130000,2,https://www.youtube.com/watch?v=Bn-5clKXKzo
H-MsXDENM-c,#shorts #short #youtube #sistemas #programacion #software #redes #ingenieria #ingeniero #tecnologia,,Freeds Sánchez,7242,1730,391,https://www.youtube.com/watch?v=H-MsXDENM-c
rjtEupM9JAU,Data mining. Si algo es gratis el producto eres tú.,El siglo XXI es el de las redes sociales. Charles Chaplin en 1936 retrataba con gran acierto al hombre atrapado en la tecnología ...,Carlos T,0,4,0,https://www.youtube.com/watch?v=rjtEupM9JAU
yRfJhR1jWrg,Proyecto Analitica y Minería de datos,Este es el proyecto final para la materia de analitca y mineria de datos para la maestría de Administración de Negocios en ...,saul viramontes,3,0,0,https://www.youtube.com/watch?v=yRfJhR1jWrg
0uBL6wAjdY8,Plataformas Golden,"Analizamos millones de datos de las redes sociales, entorno a tu esfera digital, facilitamos la toma de decisiones, optimizando tu ...",Go Social Suite,8,2660,0,https://www.youtube.com/watch?v=0uBL6wAjdY8
Asuboy9VQbw,Charlas JurídiKAS EP3 | MinerIA de datos | Invitada: María Paula Ángel,Episodio 3. MinerIA de datos En este episodio exploramos el impacto de la inteligencia artificial en la privacidad y el uso de ...,Programa Estado de Derecho Latinoamérica - KAS,1,127,0,https://www.youtube.com/watch?v=Asuboy9VQbw
6avbNhgT8-Q,"“Conectando Personas, Inteligencia Artificial y Productividad para una Minería &quot;","Expone, Lina Pérez, CTO en INDIMIN. TEMA: “Conectando Personas, Inteligencia Artificial y Productividad para una Minería ...",Fundación Jóvenes Mineros,3,665,0,https://www.youtube.com/watch?v=6avbNhgT8-Q
OlyoPEz7ff0,Transformando datos en valor añadido con Process Mining,"Una primera aproximación a la tecnología Process Mining, desde sus fundamentos teóricos hasta sus aplicaciones en diferentes ...",SIAFI UNAM,6,182,0,https://www.youtube.com/watch?v=OlyoPEz7ff0
ZrrIt2tkOAg,Minería de datos basada en grafos,"Minería de datos basada en grafos Marisol Flores Garrido ENES-UNAM, Morelia, Michoacán Resumen Un grafo es un concepto ...",Guilmer F. González Flores,4,51,0,https://www.youtube.com/watch?v=ZrrIt2tkOAg
9WMbhDW5IeM,Big Data para redes sociales,Proyecto innovador.,Aranxa Campos,1,4,0,https://www.youtube.com/watch?v=9WMbhDW5IeM
qxppQ0NfhUo,EXCEL 2022 Mineria de Datos y minado de precio del dólar en Excel,Hoy aprenderemos cómo actualizar los precios de productos con el precio del dolar automáticamente en excel. Minaremos datos ...,John el Consultor,14,5590,6,https://www.youtube.com/watch?v=qxppQ0NfhUo
od9vHUP84OM,Diferencia entre Análisis de Datos y Ciencia de Datos,Y si no lo sabías #LoAprendisteEnEDteam - ‍    ‍   ¿Eres estudiante? Postula a las becas de EDteam: ...,EDteam,6120,994000,53,https://www.youtube.com/watch?v=od9vHUP84OM
ncoZr3ncVUs,"Actividad 8: Exposición en línea sobre Minería de texto, de opiniones en Twitter o Minería de datos","Conclusiones del video: La Bibliotecología, Archivística y Documentación son áreas ideales para aplicar minería de datos, ya que ...",GilbertGamerofheart,0,3,0,https://www.youtube.com/watch?v=ncoZr3ncVUs
PEd6s6iYdAw,"Seminario permanente de redes sociales de la UNAM  Ciencia de Datos, Big Data y nuevas tecnologías.",Facebook: https://www.facebook.com/Prometeo-Divulgación-de-la-Ciencia-265168677285210/ Gmail: ...,Prometeo Divulgación,7,661,1,https://www.youtube.com/watch?v=PEd6s6iYdAw
2d7UBTxqJjc,Minería de datos,Ximena Zamudio.,TwoFace_ ,0,0,0,https://www.youtube.com/watch?v=2d7UBTxqJjc
