author,text,likes,video_id
@DavidBartolo-w5y,Rick Roll,0,dQw4w9WgXcQ
@DavidBartolo-w5y,Noooooooooooooooooooooooooooooooo😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮,0,dQw4w9WgXcQ
@AidenGause,Rick rolled my family on trip,0,dQw4w9WgXcQ
@BaconOGBlox,2billion visit come on 🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉,0,dQw4w9WgXcQ
@Green_NoobYT,i got rickrolled by scoutdigo 😭😭😭😭😭😭😭😭,0,dQw4w9WgXcQ
@Shreddedcheese-628,"This will become 17 years ago on October 25, 2026",0,dQw4w9WgXcQ
@HarperS-e2y,Who came from simjis video,0,dQw4w9WgXcQ
@GianlucaScollo-r3j6s,But the link said free robux,1,dQw4w9WgXcQ
@NathanKelly58,This isn’t GTA 6 Trailer 3 :’(,0,dQw4w9WgXcQ
@WHITESHADOW9595-f1,Bro why I thought it was free robux,0,dQw4w9WgXcQ
@Cloaked_Mike-17,I got rickrolled by a TryHackMe website 😭,0,dQw4w9WgXcQ
@elloway,QR codes for this link is now required in every game 😂,0,dQw4w9WgXcQ
@Franco0184.s,This isn't GTA 6 Trailer 3 :'(,1,dQw4w9WgXcQ
@Urshi1st,Not that old. Love it anyway,0,dQw4w9WgXcQ
@IsabelMariaCastillaLopez,😅🎸🍟🍻💃🕺,0,dQw4w9WgXcQ
@Juanaguirre-d5t,Hey prii póngale sabor ❤❤❤,0,dQw4w9WgXcQ
@mahyia658,Is not comparable to a trash lyrics now boys write about their lovers,0,dQw4w9WgXcQ
@77ggggg,Anyone who came from the DO NOT OPEN THIS ACCOUNT 🚨  guy??,0,dQw4w9WgXcQ
@tubebammy,Holy shit the Avatar movie just got me Rick Rolled in 2026,0,dQw4w9WgXcQ
@WoodysFortnite,Why did thos even become a meme???!!!?!???!?😂😂😂😂😂,0,dQw4w9WgXcQ
@Heat1000yt,I posted the video,0,dQw4w9WgXcQ
@RomanOravec-u6e,just got rick rolled by this in my playlist😅,0,dQw4w9WgXcQ
@ChessieTheRailroadKitten,I just got rick rolled from the seattle mystery vending machine,0,dQw4w9WgXcQ
@roblox_kid_12345,I got reic rolled from qr,0,dQw4w9WgXcQ
@Valdeci-kh7yb,Vim pelo printerest ;--;,0,dQw4w9WgXcQ
@Oahukoa1,I’m using this to roll someone,0,dQw4w9WgXcQ
@09daimand,"Oh my astaghfirullah 1,7 billion view brother this is 16 years ago 😮😮😮😮",0,dQw4w9WgXcQ
@Hehe9134-z5w,I scanned a rq code in public and ended up here,0,dQw4w9WgXcQ
@ShadePlays58,who's here from the gdcolon website?,0,dQw4w9WgXcQ
@enjoymynewvideos,I got rickrolled,1,dQw4w9WgXcQ
@Dubotsholnickov,One and a half billion people were caught here,2,dQw4w9WgXcQ
@yourlocalfemboythevtuber,Not again 😢,0,dQw4w9WgXcQ
@DarrellNicols,verry nice song,1,dQw4w9WgXcQ
@hugoworld3302,Never trust a qr code,0,dQw4w9WgXcQ
@hemilynayara4316,Meccha chameleon?,2,dQw4w9WgXcQ
@khandles11,Ayeeee 2026 💯💯💯,1,dQw4w9WgXcQ
@MiguelCrebber,0:43 never gonna give u up,1,dQw4w9WgXcQ
@giorgiusgiorgius2059,Of course youtube link never give you  free money,0,dQw4w9WgXcQ
@Ilovetigerss-m8m,Beni buraya bir karekod gönderdi,1,dQw4w9WgXcQ
@ITZddjayden134,Bro chatgpt why did u Rickroll me😭,2,dQw4w9WgXcQ
@MilaLi-e4t,Is it just me or does he look sorta like pastor Jeff from young sheldon,1,dQw4w9WgXcQ
@AkmalCakep-nh6du,Yang muncul ini gw scan di QR code,0,dQw4w9WgXcQ
@Алексей-ш4о3л,I have rickroll after 3 reuploaded,1,dQw4w9WgXcQ
@INTERGALACTICRESTAURANT,I kinda miss this era,0,dQw4w9WgXcQ
@anniepantojas303,This is the first time I seen this meme and it's cringe 😅,0,dQw4w9WgXcQ
@TherealDeitzy,Free robux....,0,dQw4w9WgXcQ
@joysithebe3103,55.60,0,dQw4w9WgXcQ
@RosalinRANDRIANAMBINYMANJAKALA,"I definitely didn’t have manifesting figured out. I kept trying different techniques, getting nowhere and wondering what I was doing wrong. Vera Hart’s archetype quiz helped me understand that I was using methods that simply didn’t match me. Nothing magically changed overnight, but it finally gave me some direction. It’s free, so you might as well try it.",2,dQw4w9WgXcQ
@AnnahKoloina,"La manifestation n'a jamais fonctionné pour moi et je me sentais vraiment mal. Je voyais tout le monde en parler comme si c'était naturel, alors que je restais là, le cœur brisé. J'ai fait le test des archétypes de Vera Hart par pur désespoir, sans aucune attente. Et ça m'a parfaitement correspondu. Tellement, c'était troublant. Je ne m'y attendais pas du tout. Si vous aussi, vous vous sentez coupable à cause de ça, essayez. Ça ne prend que deux minutes. ❤️",0,dQw4w9WgXcQ
@oscarsanchez6425,Brais..... 😂😂😂,0,dQw4w9WgXcQ
@jesscosmicartstudio,"I saw a QR code on Pinterest saying free robux,after i clicked the damn link i see this:",0,dQw4w9WgXcQ
@edwardheyang4815,永远有人正在观看的视频,0,dQw4w9WgXcQ
@باسلسيفالدين-ع7ز,all my friends get rickrolled when i tell them click this link,0,dQw4w9WgXcQ
@Федоров-б5з,Чё за нах!? Мне сказали 2 ящика нори в браво старс дадут!,1,dQw4w9WgXcQ
